Year,Gross savings (% of GDP),Country Name
1970,21.10273085,Canada
1971,21.15135782,Canada
1972,21.20652594,Canada
1973,23.30275259,Canada
1974,24.20514589,Canada
1975,21.18136154,Canada
1976,21.93687931,Canada
1977,20.687403,Canada
1978,20.39247923,Canada
1979,22.15099231,Canada
1980,22.26766568,Canada
1981,22.56787418,Canada
1982,19.97246332,Canada
1983,20.1300743,Canada
1984,20.99126374,Canada
1985,20.61466726,Canada
1986,19.04586143,Canada
1987,20.25177182,Canada
1988,21.0446828,Canada
1989,20.21532395,Canada
1990,17.82406242,Canada
1991,15.19677807,Canada
1992,14.10436831,Canada
1993,14.93238077,Canada
1994,17.0360145,Canada
1995,19.01012577,Canada
1996,19.52540072,Canada
1997,20.19673402,Canada
1998,19.77421428,Canada
1999,21.09588678,Canada
2000,23.77462807,Canada
2001,22.63548905,Canada
2002,21.7247372,Canada
2003,21.94377715,Canada
2004,23.66050407,Canada
2005,24.45175414,Canada
2006,24.61727708,Canada
2007,24.40431956,Canada
2008,24.24740931,Canada
2009,18.52001347,Canada
2010,19.3125301,Canada
2011,20.85710941,Canada
2012,20.91795123,Canada
2013,21.5972984,Canada
2014,22.14849389,Canada
2015,19.56936363,Canada
2016,19.14645457,Canada
2017,19.84528099,Canada
2018,19.64367359,Canada
2019,20.01542161,Canada
2020,18.883410519999998,Canada
2021,22.93142738,Canada
1971,34.68385717,Saudi Arabia
1972,36.49825035,Saudi Arabia
1973,34.90497959,Saudi Arabia
1974,67.27726626,Saudi Arabia
1975,56.77732787,Saudi Arabia
1976,60.33235937,Saudi Arabia
1977,48.27789896,Saudi Arabia
1978,34.27582237,Saudi Arabia
1979,37.84670288,Saudi Arabia
1980,50.41309415,Saudi Arabia
1981,45.87320228,Saudi Arabia
1982,32.90690151,Saudi Arabia
1983,23.87115332,Saudi Arabia
1984,19.6712641,Saudi Arabia
1985,17.01319977,Saudi Arabia
1986,13.62286797,Saudi Arabia
1987,13.35777052,Saudi Arabia
1988,16.64880074,Saudi Arabia
1989,13.73645593,Saudi Arabia
1990,15.1923008,Saudi Arabia
1991,8.585122247,Saudi Arabia
1992,16.71914918,Saudi Arabia
1993,15.50817895,Saudi Arabia
1994,15.39678877,Saudi Arabia
1995,19.8025423,Saudi Arabia
1996,22.15460441,Saudi Arabia
1997,22.7627294,Saudi Arabia
1998,16.76813347,Saudi Arabia
1999,25.62125003,Saudi Arabia
2000,30.25821128,Saudi Arabia
2001,28.02757881,Saudi Arabia
2002,29.27031712,Saudi Arabia
2003,34.81638225,Saudi Arabia
2004,42.13973558,Saudi Arabia
2005,48.65310796,Saudi Arabia
2006,48.50552786,Saudi Arabia
2007,48.92772775,Saudi Arabia
2008,52.75226934,Saudi Arabia
2009,36.59862149,Saudi Arabia
2010,43.56365505,Saudi Arabia
2011,50.59068846,Saudi Arabia
2012,48.92873536,Saudi Arabia
2013,44.6088549,Saudi Arabia
2014,38.92448874,Saudi Arabia
2015,25.50283714,Saudi Arabia
2016,27.23567748,Saudi Arabia
2017,30.37145768,Saudi Arabia
2018,35.18997986,Saudi Arabia
2019,33.89475919,Saudi Arabia
2020,24.56037839,Saudi Arabia
1974,21.02824253,Senegal
1975,17.32097813,Senegal
1976,15.00643568,Senegal
1977,15.36490884,Senegal
1978,9.849616886,Senegal
1979,9.223271194,Senegal
1980,3.484703602,Senegal
1981,7.452038866,Senegal
1982,7.9814795830000005,Senegal
1983,5.212881556,Senegal
1984,4.9588861,Senegal
1985,5.080017554,Senegal
1986,2.630968608,Senegal
1987,5.943214384,Senegal
1988,2.646399559,Senegal
1989,2.7069232149999998,Senegal
1990,2.571674859,Senegal
1991,3.016926364,Senegal
1992,3.7482174600000002,Senegal
1993,1.492260442,Senegal
1994,5.815936493,Senegal
1995,8.491258759,Senegal
1996,7.980345318,Senegal
1997,10.76193471,Senegal
1998,11.13823167,Senegal
1999,11.54025288,Senegal
2000,11.27739515,Senegal
2001,14.67052206,Senegal
2002,13.03217307,Senegal
2003,14.52874888,Senegal
2004,13.564609279999999,Senegal
2005,15.31846417,Senegal
2006,13.40037849,Senegal
2007,15.15431727,Senegal
2008,14.90772893,Senegal
2009,14.983633619999999,Senegal
2010,16.28259487,Senegal
2011,14.38264462,Senegal
2012,15.84553068,Senegal
2013,16.28849893,Senegal
2014,18.95045331,Senegal
2015,20.14248361,Senegal
2016,21.15496587,Senegal
2017,22.54339558,Senegal
2018,23.06032511,Senegal
