Period,Number employed (thousands),Age Group
2019-10-01,0.0,16-24 
2019-11-01,25.339000000000002,16-24 
2019-12-01,55.63399999999999,16-24 
2020-01-01,59.418,16-24 
2020-01-02,27.741,16-24 
2020-01-03,-9.836,16-24 
2020-01-04,-7.901,16-24 
2020-01-05,-72.293,16-24 
2020-01-06,-159.94,16-24 
2020-01-07,-228.07299999999998,16-24 
2020-01-08,-246.40200000000002,16-24 
2020-01-09,-250.24099999999999,16-24 
2020-01-10,-203.585,16-24 
2019-10-01,0.0,25-34
2019-11-01,2.421,25-34
2019-12-01,3.47,25-34
2020-01-01,27.629,25-34
2020-01-02,19.711,25-34
2020-01-03,-13.475,25-34
2020-01-04,-14.585,25-34
2020-01-05,-6.67,25-34
2020-01-06,39.872,25-34
2020-01-07,15.120999999999999,25-34
2020-01-08,-2.394,25-34
2020-01-09,-15.987,25-34
2020-01-10,-21.32,25-34
2019-10-01,0.0,35-49
2019-11-01,14.927999999999999,35-49
2019-12-01,-10.585999999999999,35-49
2020-01-01,4.438,35-49
2020-01-02,-32.208,35-49
2020-01-03,-66.589,35-49
2020-01-04,-75.834,35-49
2020-01-05,-67.08800000000001,35-49
2020-01-06,-61.205,35-49
2020-01-07,-56.107,35-49
2020-01-08,-88.133,35-49
2020-01-09,-60.216,35-49
2020-01-10,-121.13799999999999,35-49
2019-10-01,0.0,50-64
2019-11-01,17.096,50-64
2019-12-01,11.443,50-64
2020-01-01,18.291,50-64
2020-01-02,8.663,50-64
2020-01-03,-10.837,50-64
2020-01-04,-42.216,50-64
2020-01-05,-15.630999999999998,50-64
2020-01-06,0.08,50-64
2020-01-07,-0.063,50-64
2020-01-08,-54.726000000000006,50-64
2020-01-09,-67.987,50-64
2020-01-10,-60.56,50-64
2019-10-01,0.0,65+ 
2019-11-01,-27.136999999999997,65+ 
2019-12-01,24.093000000000004,65+ 
2020-01-01,62.31,65+ 
2020-01-02,80.5,65+ 
2020-01-03,39.835,65+ 
2020-01-04,-16.838,65+ 
2020-01-05,-68.47,65+ 
2020-01-06,-54.338,65+ 
2020-01-07,-41.236000000000004,65+ 
2020-01-08,-2.613,65+ 
2020-01-09,15.222000000000001,65+ 
2020-01-10,8.685,65+ 
